"","game_id","off_team_id","OFF_PLAYER_ID","OFF_PLAYER_NAME","def_team_id","DEF_PLAYER_ID","DEF_PLAYER_NAME","MATCHUP_MIN","percentage_total_time_both_on","off_team_name","off_team_abv","off_team_color","def_team_name","def_team_abv","def_team_color","min_played","matchup_min_end","matchup_min_start","pct_matchup_time","OFF_PLAYER_NAME_LAST","DEF_PLAYER_NAME_LAST","pct_matchup_time_scaled","DEF_PLAYER_HEADSHOT","OFF_PLAYER_HEADSHOT","TEAM_NAME","MATCHUP","game_number","matchup_full","matchup_min_start_def","matchup_min_end_def","pct_matchup_time_scaled_def","season"
"21","0042400171",1610612743,203932,"Aaron Gordon",1610612746,201587,"Nicolas Batum",3.05833333333333,0.467,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,12.89,9.83166666666667,0.161716753326871,"Gordon","Batum",0.41936391781593,"https://cdn.nba.com/headshots/nba/latest/1040x760/201587.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",0,3.05833333333333,1,"2024-25"
"22","0042400171",1610612743,203932,"Aaron Gordon",1610612746,1626181,"Norman Powell",1.81333333333333,0.133,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,14.7033333333333,12.89,0.0958843747245968,"Gordon","Powell",0.209119054320293,"https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",9.01833333333333,10.8316666666667,0.19196261682243,"2024-25"
"23","0042400172",1610612743,203932,"Aaron Gordon",1610612746,201587,"Nicolas Batum",1.41333333333333,0.449,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,11.0433333333333,9.63,0.095819209039548,"Gordon","Batum",0.274916387959866,"https://cdn.nba.com/headshots/nba/latest/1040x760/201587.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",2.90833333333333,4.32166666666667,0.940520446096654,"2024-25"
"24","0042400171",1610612743,203932,"Aaron Gordon",1610612746,1627826,"Ivica Zubac",1.06,0.069,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,15.7633333333333,14.7033333333333,0.0560500572838636,"Gordon","Zubac",0.0819026175063327,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",13.3366666666667,14.3966666666667,0.0776669224865695,"2024-25"
"25","0042400171",1610612743,203932,"Aaron Gordon",1610612746,1627732,"Ben Simmons",1.00666666666667,0.322,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,16.77,15.7633333333333,0.0532299286154931,"Gordon","Simmons",0.0728961441035744,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",2.39833333333333,3.405,0.717847769028871,"2024-25"
"26","0042400172",1610612743,203932,"Aaron Gordon",1610612746,1627826,"Ivica Zubac",1.00333333333333,0.074,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,12.0466666666667,11.0433333333333,0.0680225988700565,"Gordon","Zubac",0.192642140468227,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",12.4766666666667,13.48,0.0926941447019282,"2024-25"
"27","0042400172",1610612743,203932,"Aaron Gordon",1610612746,1626181,"Norman Powell",0.94,0.076,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,12.9866666666667,12.0466666666667,0.063728813559322,"Gordon","Powell",0.179933110367893,"https://cdn.nba.com/headshots/nba/latest/1040x760/1626181.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",11.615,12.555,0.0466212676794133,"2024-25"
"28","0042400172",1610612743,203932,"Aaron Gordon",1610612746,1627884,"Derrick Jones Jr",0.928333333333333,0.22,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,13.915,12.9866666666667,0.0629378531073446,"Gordon","Jones Jr",0.177591973244147,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627884.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",3.29166666666667,4.22,0.267940113577697,"2024-25"
"29","0042400171",1610612743,203932,"Aaron Gordon",1610612746,1627739,"Kris Dunn",0.918333333333333,0.071,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,17.6883333333333,16.77,0.0485590905085045,"Gordon","Dunn",0.0579791725302561,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627739.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",12.3383333333333,13.2566666666667,0,"2024-25"
"30","0042400172",1610612743,203932,"Aaron Gordon",1610612746,1627739,"Kris Dunn",0.658333333333333,0.06,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,14.5733333333333,13.915,0.0446327683615819,"Gordon","Dunn",0.123411371237458,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627739.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",10.745,11.4033333333333,0.0695695695695696,"2024-25"
"31","0042400171",1610612743,203932,"Aaron Gordon",1610612746,203992,"Bogdan Bogdanović",0.648333333333333,0.224,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,18.3366666666667,17.6883333333333,0.0342821891248788,"Gordon","Bogdanović",0.0123839009287926,"https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",2.32666666666667,2.975,0.791962174940898,"2024-25"
"32","0042400171",1610612743,203932,"Aaron Gordon",1610612746,1627884,"Derrick Jones Jr",0.575,0.087,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",18.9116666666667,18.9116666666667,18.3366666666667,0.0304045122058694,"Gordon","Jones Jr",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627884.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 1","Round 1: DEN vs. LAC, Game 1",7.775,8.35,0.0893089960886571,"2024-25"
"33","0042400172",1610612743,203932,"Aaron Gordon",1610612746,203992,"Bogdan Bogdanović",0.133333333333333,0.045,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,14.7066666666667,14.5733333333333,0.00903954802259887,"Gordon","Bogdanović",0.0180602006688963,"https://cdn.nba.com/headshots/nba/latest/1040x760/203992.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",5.68,5.81333333333333,0.0577367205542725,"2024-25"
"34","0042400172",1610612743,203932,"Aaron Gordon",1610612746,1627732,"Ben Simmons",0.0433333333333333,0.026,"Denver Nuggets","DEN","#0E2240","LA Clippers","LAC","#5D76A9",14.75,14.75,14.7066666666667,0.00293785310734463,"Gordon","Simmons",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627732.png","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","Denver Nuggets","DEN vs. LAC","Game 2","Round 1: DEN vs. LAC, Game 2",2.62,2.66333333333333,0,"2024-25"
"35","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1630228,"Jonathan Kuminga",0.638333333333333,0.456,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,0.638333333333333,0,0.313677313677314,"Holiday","Kuminga",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",8.87666666666667,9.515,0.17282196969697,"2024-25"
"36","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1630296,"Braxton Key",0.415,0.344,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,1.05333333333333,0.638333333333333,0.203931203931204,"Holiday","Key",0.636856368563686,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630296.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",0.44,0.855,0.929906542056075,"2024-25"
"37","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1641764,"Brandin Podziemski",0.336666666666667,0.415,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,1.39,1.05333333333333,0.165438165438165,"Holiday","Podziemski",0.509485094850949,"https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",5.46,5.79666666666667,0.128082191780822,"2024-25"
"38","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1630311,"Pat Spencer",0.193333333333333,0.139,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,1.58333333333333,1.39,0.095004095004095,"Holiday","Spencer",0.276422764227642,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630311.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",5.42166666666667,5.615,0.0733812949640288,"2024-25"
"39","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1630541,"Moses Moody",0.171666666666667,0.301,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,1.755,1.58333333333333,0.0843570843570844,"Holiday","Moody",0.241192411924119,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",10.2033333333333,10.375,0,"2024-25"
"40","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1630611,"Gui Santos",0.17,0.17,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,1.925,1.755,0.0835380835380835,"Holiday","Santos",0.238482384823848,"https://cdn.nba.com/headshots/nba/latest/1040x760/1630611.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",4.075,4.245,0,"2024-25"
"41","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1631218,"Trayce JacksonDavis",0.0866666666666667,0.072,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,2.01166666666667,1.925,0.0425880425880426,"Holiday","JacksonDavis",0.102981029810298,"https://cdn.nba.com/headshots/nba/latest/1040x760/1631218.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",1.65666666666667,1.74333333333333,0.0466200466200466,"2024-25"
"42","0042400152",1610612745,1628988,"Aaron Holiday",1610612744,1626172,"Kevon Looney",0.0233333333333333,0.024,"Houston Rockets","HOU","#CE1141","Golden State Warriors","GSW","#1D428A",2.035,2.035,2.01166666666667,0.0114660114660115,"Holiday","Looney",0,"https://cdn.nba.com/headshots/nba/latest/1040x760/1626172.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png","Houston Rockets","HOU vs. GSW","Game 2","Round 1: HOU vs. GSW, Game 2",5.30666666666667,5.33,0,"2024-25"
"43","0042400132",1610612754,1630174,"Aaron Nesmith",1610612749,1628398,"Kyle Kuzma",5.35666666666667,0.416,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",12.8683333333333,5.35666666666667,0,0.416267322885637,"Nesmith","Kuzma",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 2","Round 1: IND vs. MIL, Game 2",0,5.35666666666667,1,"2024-25"
"44","0042400131",1610612754,1630174,"Aaron Nesmith",1610612749,1631260,"AJ Green",2.67,0.437,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",10.5133333333333,2.67,0,0.253963221306278,"Nesmith","Green",1,"https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 1","Round 1: IND vs. MIL, Game 1",2.805,5.475,0.947162426614481,"2024-25"
"45","0042400132",1610612754,1630174,"Aaron Nesmith",1610612749,203081,"Damian Lillard",2.47666666666667,0.188,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",12.8683333333333,7.83333333333333,5.35666666666667,0.192462116306178,"Nesmith","Lillard",0.394321766561514,"https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 2","Round 1: IND vs. MIL, Game 2",6.50333333333333,8.98,0.376837761155533,"2024-25"
"46","0042400131",1610612754,1630174,"Aaron Nesmith",1610612749,1627752,"Taurean Prince",2.18833333333333,0.461,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",10.5133333333333,4.85833333333333,2.67,0.208148383005707,"Nesmith","Prince",0.807333333333333,"https://cdn.nba.com/headshots/nba/latest/1040x760/1627752.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 1","Round 1: IND vs. MIL, Game 1",0,2.18833333333333,1,"2024-25"
"47","0042400131",1610612754,1630174,"Aaron Nesmith",1610612749,203507,"Giannis Antetokounmpo",2.12,0.197,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",10.5133333333333,6.97833333333333,4.85833333333333,0.201648700063412,"Nesmith","Antetokounmpo",0.78,"https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 1","Round 1: IND vs. MIL, Game 1",8.27666666666667,10.3966666666667,0.514856834143706,"2024-25"
"48","0042400132",1610612754,1630174,"Aaron Nesmith",1610612749,203507,"Giannis Antetokounmpo",1.54666666666667,0.117,"Indiana Pacers","IND","#002D62","Milwaukee Bucks","MIL","#00471B",12.8683333333333,9.38,7.83333333333333,0.120191685014894,"Nesmith","Antetokounmpo",0.198738170347003,"https://cdn.nba.com/headshots/nba/latest/1040x760/203507.png","https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png","Indiana Pacers","IND vs. MIL","Game 2","Round 1: IND vs. MIL, Game 2",12.27,13.8166666666667,0.323188405797101,"2024-25"
