"","TEAM_NAME","TEAM_ID","GAME_ID","GAME_DATE","MATCHUP","game_number","version","OPP_NAME","matchup_start","round","matchup_full","TEAM_COLOR","OPP_COLOR","season"
"67","Indiana Pacers","1610612754","0042400205","2025-05-13","IND vs. CLE","Game 5","Fri May 16 14:46:19","Cleveland Cavaliers","2025-05-04",2,"Round 2: IND vs. CLE, Game 5","#002D62","#860038","2024-25"
"68","LA Clippers","1610612746","0042400171","2025-04-19","LAC vs. DEN","Game 1","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 1","#5D76A9","#0E2240","2024-25"
"69","LA Clippers","1610612746","0042400172","2025-04-21","LAC vs. DEN","Game 2","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 2","#5D76A9","#0E2240","2024-25"
"70","LA Clippers","1610612746","0042400173","2025-04-24","LAC vs. DEN","Game 3","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 3","#5D76A9","#0E2240","2024-25"
"71","LA Clippers","1610612746","0042400174","2025-04-26","LAC vs. DEN","Game 4","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 4","#5D76A9","#0E2240","2024-25"
"72","LA Clippers","1610612746","0042400175","2025-04-29","LAC vs. DEN","Game 5","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 5","#5D76A9","#0E2240","2024-25"
"73","LA Clippers","1610612746","0042400176","2025-05-01","LAC vs. DEN","Game 6","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 6","#5D76A9","#0E2240","2024-25"
"74","LA Clippers","1610612746","0042400177","2025-05-03","LAC vs. DEN","Game 7","Fri May 16 14:46:19","Denver Nuggets","2025-04-19",1,"Round 1: LAC vs. DEN, Game 7","#5D76A9","#0E2240","2024-25"
"75","Los Angeles Lakers","1610612747","0042400161","2025-04-19","LAL vs. MIN","Game 1","Fri May 16 14:46:19","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 1","#552583","#236192","2024-25"
"76","Los Angeles Lakers","1610612747","0042400162","2025-04-22","LAL vs. MIN","Game 2","Fri May 16 14:46:19","Minnesota Timberwolves","2025-04-19",1,"Round 1: LAL vs. MIN, Game 2","#552583","#236192","2024-25"
